MIN=0	-10	-10
MAX=2000	10	10
SCALE=2000	5	5
DEC=1	2	2
DEF="Zeit" t / ms	"Spannung" U_B1 / V	"Spannung" U_A1 / V
90,2	0,045	1,38
90,4	0,05	1,385
90,6	0,045	1,38
90,8	0,045	1,385
91	0,05	1,385
91,2	0,045	1,38
91,4	0,045	1,38
91,6	0,045	1,38
91,8	0,045	1,38
92	0,05	1,38
92,2	0,045	1,38
92,4	0,055	1,38
92,6	0,05	1,38
92,8	0,045	1,38
93	0,045	1,38
93,2	0,045	1,38
93,4	0,045	1,375
93,6	0,045	1,375
93,8	0,045	1,38
94	0,045	1,375
94,2	0,05	1,375
94,4	0,05	1,375
94,6	0,05	1,375
94,8	0,05	1,375
95	0,05	1,375
95,2	0,05	1,37
95,4	0,05	1,375
95,6	0,05	1,375
95,8	0,05	1,37
96	0,055	1,375
96,2	0,05	1,375
96,4	0,05	1,37
96,6	0,05	1,37
96,8	0,05	1,37
97	0,05	1,37
97,2	0,05	1,375
97,4	0,05	1,37
97,6	0,045	1,365
97,8	0,045	1,37
98	0,05	1,365
98,2	0,05	1,37
98,4	0,045	1,37
98,6	0,045	1,365
98,8	0,045	1,37
99	0,05	1,365
99,2	0,045	1,365
99,4	0,05	1,365
99,6	0,045	1,365
99,8	0,045	1,36
100	0,045	1,365
100,2	0,045	1,365
100,4	0,045	1,36
100,6	0,045	1,365
100,8	0,045	1,36
101	0,045	1,36
101,2	0,04	1,36
101,4	0,045	1,36
101,6	0,04	1,36
101,8	0,045	1,36
102	0,045	1,36
102,2	0,045	1,36
102,4	0,045	1,355
102,6	0,045	1,355
102,8	0,045	1,36
103	0,045	1,355
103,2	0,045	1,355
103,4	0,045	1,355
103,6	0,045	1,355
103,8	0,04	1,355
104	0,04	1,355
104,2	0,04	1,35
104,4	0,045	1,355
104,6	0,045	1,355
104,8	0,045	1,35
105	0,045	1,355
105,2	0,04	1,35
105,4	0,04	1,35
105,6	0,045	1,35
105,8	0,045	1,35
106	0,04	1,345
106,2	0,045	1,35
106,4	0,035	1,345
106,6	0,04	1,345
106,8	0,04	1,345
107	0,04	1,345
107,2	0,04	1,345
107,4	0,04	1,345
107,6	0,04	1,34
107,8	0,04	1,345
108	0,045	1,345
108,2	0,04	1,345
108,4	0,04	1,34
108,6	0,04	1,34
108,8	0,04	1,34
109	0,045	1,345
109,2	0,045	1,34
109,4	0,045	1,34
109,6	0,04	1,345
109,8	0,045	1,34
110	0,045	1,34
110,2	0,045	1,34
110,4	0,045	1,34
110,6	0,045	1,335
110,8	0,05	1,34
111	0,05	1,335
111,2	0,05	1,34
111,4	0,05	1,335
111,6	0,05	1,33
111,8	0,05	1,335
112	0,045	1,335
112,2	0,045	1,33
