MIN=0	-10	-10
MAX=2000	10	10
SCALE=2000	5	5
DEC=1	2	2
DEF="Zeit" t / ms	"Spannung" U_B1 / V	"Spannung" U_A1 / V
83,2	0,05	-1,43
83,4	0,045	-1,44
83,6	0,05	-1,44
83,8	0,045	-1,435
84	0,045	-1,44
84,2	0,05	-1,44
84,4	0,045	-1,44
84,6	0,045	-1,44
84,8	0,05	-1,44
85	0,05	-1,44
85,2	0,05	-1,44
85,4	0,05	-1,44
85,6	0,05	-1,445
85,8	0,05	-1,44
86	0,05	-1,445
86,2	0,05	-1,445
86,4	0,055	-1,44
86,6	0,055	-1,445
86,8	0,04	-1,445
87	0,055	-1,445
87,2	0,05	-1,445
87,4	0,05	-1,445
87,6	0,055	-1,445
87,8	0,05	-1,445
88	0,055	-1,445
88,2	0,055	-1,445
88,4	0,05	-1,45
88,6	0,05	-1,45
88,8	0,05	-1,445
89	0,05	-1,45
89,2	0,05	-1,45
89,4	0,05	-1,45
89,6	0,05	-1,45
89,8	0,05	-1,45
90	0,05	-1,45
90,2	0,045	-1,455
90,4	0,05	-1,45
90,6	0,045	-1,455
90,8	0,045	-1,455
91	0,045	-1,45
91,2	0,045	-1,455
91,4	0,05	-1,45
91,6	0,045	-1,455
91,8	0,05	-1,455
92	0,05	-1,455
92,2	0,045	-1,455
92,4	0,05	-1,455
92,6	0,05	-1,455
92,8	0,045	-1,455
93	0,05	-1,46
93,2	0,05	-1,455
93,4	0,05	-1,46
93,6	0,05	-1,46
93,8	0,05	-1,46
94	0,05	-1,46
94,2	0,05	-1,46
94,4	0,045	-1,465
94,6	0,05	-1,46
94,8	0,055	-1,46
95	0,05	-1,465
95,2	0,05	-1,465
95,4	0,05	-1,46
95,6	0,045	-1,465
95,8	0,05	-1,465
96	0,05	-1,465
96,2	0,05	-1,465
96,4	0,055	-1,46
96,6	0,05	-1,47
96,8	0,045	-1,47
97	0,05	-1,465
97,2	0,045	-1,465
97,4	0,05	-1,47
97,6	0,045	-1,465
97,8	0,045	-1,47
98	0,045	-1,47
98,2	0,04	-1,47
98,4	0,04	-1,47
98,6	0,04	-1,47
98,8	0,04	-1,47
99	0,04	-1,475
99,2	0,04	-1,47
99,4	0,04	-1,475
99,6	0,04	-1,475
99,8	0,04	-1,47
100	0,04	-1,475
100,2	0,045	-1,475
100,4	0,045	-1,475
100,6	0,045	-1,475
100,8	0,045	-1,475
101	0,045	-1,475
101,2	0,065	-1,48
101,4	0,045	-1,475
101,6	0,045	-1,48
101,8	0,045	-1,48
102	0,05	-1,48
102,2	0,05	-1,475
102,4	0,05	-1,48
102,6	0,05	-1,475
102,8	0,05	-1,48
103	0,05	-1,48
103,2	0,05	-1,475
103,4	0,05	-1,485
