MIN=0	-10	-10
MAX=2000	10	10
SCALE=2000	5	5
DEC=1	2	2
DEF="Zeit" t / ms	"Spannung" U_B1 / V	"Spannung" U_A1 / V
0	0,005	-1,41
0,2	0	-1,41
0,4	0	-1,41
0,6	0,005	-1,405
0,8	0	-1,41
1	0	-1,405
1,2	-0,005	-1,405
1,4	0,01	-1,4
1,6	0	-1,4
1,8	0	-1,4
2	-0,005	-1,4
2,2	0	-1,395
2,4	-0,005	-1,4
2,6	0	-1,395
2,8	0	-1,395
3	-0,005	-1,395
3,2	0	-1,39
3,4	0	-1,395
3,6	-0,005	-1,39
3,8	0	-1,39
4	0	-1,39
4,2	0	-1,39
4,4	0	-1,385
4,6	0	-1,385
4,8	0,005	-1,385
5	0	-1,385
5,2	0	-1,38
5,4	0,005	-1,38
5,6	0	-1,38
5,8	0	-1,375
6	0	-1,375
6,2	0	-1,375
6,4	0,005	-1,375
6,6	0	-1,375
6,8	0	-1,375
7	0,005	-1,37
7,2	0	-1,37
7,4	0	-1,365
7,6	0	-1,365
7,8	0	-1,365
8	0	-1,37
8,2	0	-1,36
8,4	-0,005	-1,365
8,6	-0,005	-1,36
8,8	-0,005	-1,365
9	-0,005	-1,36
9,2	-0,005	-1,355
9,4	-0,005	-1,355
9,6	-0,01	-1,36
9,8	-0,01	-1,35
10	-0,005	-1,355
10,2	-0,01	-1,35
10,4	-0,005	-1,35
10,6	-0,005	-1,35
10,8	-0,005	-1,345
11	-0,005	-1,35
11,2	-0,005	-1,35
11,4	-0,005	-1,345
11,6	-0,005	-1,345
11,8	-0,005	-1,345
12	-0,005	-1,34
12,2	0	-1,34
12,4	-0,005	-1,34
12,6	0,005	-1,335
12,8	0	-1,34
13	0,005	-1,335
13,2	0,005	-1,335
13,4	0,005	-1,335
13,6	0	-1,33
13,8	0	-1,33
14	0,005	-1,33
14,2	0,005	-1,325
14,4	0	-1,33
14,6	0	-1,325
14,8	0	-1,32
15	0	-1,325
15,2	0	-1,325
15,4	0	-1,32
15,6	0	-1,32
15,8	0	-1,315
16	0	-1,32
16,2	-0,005	-1,32
16,4	0	-1,31
16,6	-0,005	-1,315
16,8	0	-1,315
17	-0,005	-1,31
17,2	-0,005	-1,31
17,4	0	-1,31
17,6	-0,005	-1,31
17,8	-0,005	-1,31
18	0	-1,3
18,2	-0,005	-1,31
18,4	-0,005	-1,305
18,6	0	-1,3
18,8	-0,005	-1,3
19	0	-1,3
19,2	0	-1,3
19,4	0	-1,3
19,6	0	-1,295
19,8	-0,005	-1,295
20	0,01	-1,295
20,2	0,005	-1,29
20,4	-0,005	-1,29
20,6	-0,005	-1,29
20,8	0	-1,29
21	0,005	-1,29
21,2	0	-1,29
21,4	0	-1,285
21,6	0	-1,285
21,8	0	-1,28
22	0	-1,285
22,2	0,005	-1,285
22,4	0	-1,28
22,6	0	-1,28
22,8	-0,005	-1,28
23	-0,005	-1,275
23,2	-0,005	-1,275
23,4	-0,005	-1,275
23,6	-0,005	-1,275
23,8	0	-1,275
24	0	-1,27
24,2	-0,005	-1,275
24,4	0	-1,27
24,6	-0,005	-1,265
24,8	-0,005	-1,265
25	-0,005	-1,265
25,2	-0,005	-1,26
25,4	-0,005	-1,265
25,6	-0,005	-1,26
25,8	-0,005	-1,26
26	-0,01	-1,26
26,2	-0,005	-1,255
26,4	-0,01	-1,26
26,6	-0,01	-1,255
26,8	-0,01	-1,25
27	-0,01	-1,255
27,2	-0,01	-1,255
27,4	-0,01	-1,25
27,6	-0,01	-1,25
27,8	-0,005	-1,25
28	-0,005	-1,25
28,2	-0,01	-1,245
28,4	-0,005	-1,245
28,6	-0,005	-1,245
28,8	-0,01	-1,245
29	-0,005	-1,24
29,2	-0,005	-1,24
29,4	-0,005	-1,24
29,6	-0,005	-1,235
29,8	-0,005	-1,235
30	-0,005	-1,235
30,2	-0,005	-1,23
30,4	0,005	-1,235
30,6	-0,005	-1,23
30,8	-0,005	-1,23
31	-0,005	-1,23
31,2	-0,01	-1,225
31,4	-0,01	-1,23
31,6	-0,005	-1,225
31,8	-0,005	-1,225
32	-0,005	-1,225
32,2	-0,005	-1,22
32,4	-0,005	-1,22
32,6	-0,01	-1,22
32,8	-0,005	-1,215
33	-0,005	-1,215
33,2	-0,01	-1,22
33,4	-0,005	-1,21
33,6	-0,005	-1,215
33,8	-0,005	-1,215
34	-0,005	-1,21
34,2	-0,01	-1,21
34,4	-0,005	-1,21
34,6	-0,01	-1,21
34,8	-0,005	-1,21
35	-0,005	-1,2
35,2	-0,005	-1,205
35,4	-0,005	-1,205
35,6	-0,005	-1,195
35,8	-0,005	-1,2
36	-0,005	-1,2
36,2	-0,005	-1,195
36,4	-0,005	-1,195
36,6	-0,005	-1,19
36,8	0	-1,195
37	0	-1,19
37,2	0	-1,19
37,4	0	-1,19
37,6	-0,005	-1,19
37,8	0	-1,185
38	0	-1,185
38,2	0	-1,185
38,4	0	-1,185
38,6	0	-1,185
38,8	-0,005	-1,18
39	-0,005	-1,18
39,2	0	-1,18
39,4	0	-1,18
39,6	0	-1,175
39,8	-0,005	-1,175
40	0	-1,17
40,2	-0,005	-1,175
40,4	-0,005	-1,17
40,6	-0,01	-1,17
40,8	-0,005	-1,17
41	-0,005	-1,17
41,2	-0,005	-1,165
41,4	-0,01	-1,165
41,6	-0,005	-1,165
41,8	-0,005	-1,165
42	-0,01	-1,16
42,2	-0,005	-1,155
42,4	-0,005	-1,16
42,6	-0,005	-1,16
42,8	-0,005	-1,155
43	-0,01	-1,155
43,2	-0,005	-1,15
43,4	-0,005	-1,155
43,6	0	-1,15
43,8	-0,005	-1,15
44	-0,005	-1,15
44,2	-0,005	-1,15
44,4	-0,005	-1,145
44,6	-0,005	-1,145
44,8	0	-1,145
45	-0,005	-1,145
45,2	0	-1,14
45,4	-0,005	-1,14
45,6	-0,005	-1,14
45,8	-0,005	-1,14
46	-0,005	-1,135
46,2	-0,005	-1,135
46,4	0	-1,135
46,6	0	-1,135
46,8	-0,005	-1,13
47	-0,005	-1,13
47,2	-0,005	-1,13
47,4	0	-1,13
47,6	-0,005	-1,125
47,8	-0,005	-1,125
48	-0,01	-1,125
48,2	-0,01	-1,12
48,4	-0,01	-1,12
48,6	-0,01	-1,12
48,8	-0,01	-1,12
49	-0,015	-1,12
49,2	-0,015	-1,115
49,4	-0,015	-1,115
49,6	-0,015	-1,115
49,8	-0,01	-1,11
50	-0,015	-1,115
50,2	-0,015	-1,11
50,4	-0,015	-1,11
50,6	-0,015	-1,11
50,8	-0,015	-1,11
51	-0,01	-1,105
51,2	-0,01	-1,105
51,4	-0,01	-1,105
51,6	-0,015	-1,105
51,8	-0,01	-1,105
52	-0,005	-1,1
52,2	-0,01	-1,1
52,4	-0,01	-1,1
52,6	-0,005	-1,095
52,8	-0,005	-1,095
53	-0,005	-1,095
53,2	-0,005	-1,095
53,4	-0,005	-1,095
53,6	-0,005	-1,085
53,8	0	-1,09
54	-0,005	-1,09
54,2	0	-1,085
54,4	0	-1,085
54,6	-0,005	-1,085
54,8	0	-1,08
55	-0,005	-1,085
55,2	-0,005	-1,08
55,4	-0,005	-1,085
55,6	-0,005	-1,08
55,8	0	-1,07
56	-0,005	-1,075
56,2	-0,005	-1,075
56,4	-0,005	-1,07
56,6	-0,005	-1,07
56,8	-0,005	-1,07
57	-0,005	-1,07
57,2	-0,005	-1,07
57,4	-0,005	-1,065
57,6	-0,005	-1,07
57,8	-0,01	-1,065
58	-0,005	-1,06
58,2	-0,01	-1,06
58,4	-0,01	-1,06
58,6	-0,005	-1,055
58,8	-0,01	-1,06
59	-0,01	-1,055
59,2	-0,005	-1,05
59,4	-0,005	-1,055
59,6	-0,01	-1,055
59,8	-0,005	-1,055
60	-0,005	-1,05
60,2	-0,005	-1,045
60,4	-0,005	-1,05
60,6	-0,005	-1,045
60,8	-0,005	-1,04
61	-0,005	-1,045
61,2	0	-1,045
61,4	-0,005	-1,04
61,6	0	-1,04
61,8	-0,005	-1,04
62	-0,005	-1,04
62,2	-0,005	-1,035
62,4	-0,005	-1,03
62,6	-0,005	-1,03
62,8	-0,005	-1,035
63	-0,005	-1,03
63,2	-0,005	-1,03
63,4	-0,005	-1,03
63,6	-0,005	-1,025
63,8	-0,005	-1,025
64	-0,005	-1,025
64,2	-0,005	-1,025
64,4	-0,005	-1,02
64,6	-0,01	-1,02
64,8	-0,01	-1,015
65	-0,01	-1,02
65,2	-0,01	-1,015
65,4	-0,01	-1,015
65,6	-0,01	-1,015
65,8	-0,01	-1,015
66	-0,015	-1,015
66,2	-0,01	-1,01
66,4	-0,015	-1,01
66,6	-0,015	-1,01
66,8	-0,015	-1,005
67	-0,015	-1,005
67,2	-0,01	-1,005
67,4	-0,015	-1,005
67,6	-0,015	-1,005
67,8	-0,01	-1
68	-0,015	-1
68,2	-0,01	-1
68,4	-0,015	-0,995
68,6	-0,015	-0,995
68,8	-0,015	-0,995
69	-0,015	-0,99
69,2	-0,015	-0,995
69,4	-0,015	-0,99
69,6	-0,015	-0,99
69,8	-0,01	-0,99
70	-0,01	-0,985
70,2	-0,01	-0,985
70,4	-0,015	-0,985
70,6	-0,01	-0,98
70,8	-0,01	-0,985
71	-0,01	-0,985
71,2	-0,01	-0,975
71,4	-0,01	-0,98
71,6	-0,015	-0,975
71,8	-0,01	-0,975
72	-0,015	-0,975
72,2	-0,01	-0,97
72,4	-0,01	-0,975
72,6	-0,015	-0,975
72,8	-0,01	-0,97
73	-0,015	-0,97
73,2	-0,01	-0,97
73,4	-0,015	-0,965
73,6	-0,015	-0,97
73,8	-0,01	-0,96
74	-0,015	-0,96
74,2	-0,015	-0,96
74,4	-0,01	-0,96
74,6	-0,015	-0,96
74,8	-0,015	-0,96
75	-0,01	-0,955
75,2	-0,015	-0,955
75,4	-0,01	-0,955
75,6	-0,01	-0,95
75,8	-0,015	-0,955
76	-0,01	-0,95
76,2	-0,01	-0,95
76,4	-0,01	-0,95
76,6	-0,005	-0,94
76,8	-0,01	-0,945
77	-0,01	-0,94
77,2	-0,005	-0,94
77,4	-0,005	-0,94
77,6	-0,005	-0,94
77,8	-0,005	-0,935
78	-0,01	-0,94
78,2	-0,01	-0,935
78,4	-0,01	-0,935
78,6	-0,01	-0,935
78,8	-0,005	-0,93
79	-0,005	-0,93
79,2	-0,015	-0,93
79,4	-0,01	-0,925
79,6	-0,01	-0,93
79,8	-0,01	-0,925
80	-0,015	-0,925
80,2	-0,015	-0,925
80,4	-0,01	-0,92
80,6	-0,01	-0,92
80,8	-0,01	-0,92
81	-0,01	-0,915
